지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C),이슬점온도(°C),풍향(deg),풍속(knot)
47102,백령도,2022-03-06 0:00,10,31210,-43.3,-78.3,255,82
47102,백령도,2022-03-06 0:00,20,26480,-41.7,-77.7,255,57
47102,백령도,2022-03-06 0:00,30,23790,-52.5,-84.5,265,47
47102,백령도,2022-03-06 0:00,50,20520,-52.9,-84.9,270,33
47102,백령도,2022-03-06 0:00,70,18350,-57.3,-88.3,280,79
47102,백령도,2022-03-06 0:00,100,16100,-56.5,-87.5,285,88
47102,백령도,2022-03-06 0:00,150,13520,-54.3,-86.3,285,131
47102,백령도,2022-03-06 0:00,200,11660,-50.3,-83.3,280,126
47102,백령도,2022-03-06 0:00,250,10200,-51.3,-75.3,280,106
47102,백령도,2022-03-06 0:00,300,9000,-49.7,-70.7,290,98
47102,백령도,2022-03-06 0:00,400,7060,-37.5,-58.5,300,70
47102,백령도,2022-03-06 0:00,500,5480,-25.9,-43.9,305,54
47102,백령도,2022-03-06 0:00,700,2972,-11.3,-56.3,325,41
47102,백령도,2022-03-06 0:00,850,1467,-7.7,-31.7,330,37
47102,백령도,2022-03-06 0:00,925,811,-6.5,-16.5,340,24
47102,백령도,2022-03-06 0:00,1000,193,-0.5,-14.5,345,23
47102,백령도,2022-03-06 12:00,10,30780,-44.7,-79.7,255,48
47102,백령도,2022-03-06 12:00,20,26200,-49.7,-74.7,260,67
47102,백령도,2022-03-06 12:00,30,23580,-55.7,-76.7,255,54
47102,백령도,2022-03-06 12:00,50,20350,-57.9,-75.9,265,61
47102,백령도,2022-03-06 12:00,70,18230,-60.5,-76.5,280,77
47102,백령도,2022-03-06 12:00,100,16010,-56.7,-71.7,275,86
47102,백령도,2022-03-06 12:00,150,13460,-56.5,-68.5,275,126
47102,백령도,2022-03-06 12:00,200,11630,-53.9,-63.9,270,125
47102,백령도,2022-03-06 12:00,250,10210,-56.9,-63.9,275,131
47102,백령도,2022-03-06 12:00,300,9030,-48.9,-57.9,270,111
47102,백령도,2022-03-06 12:00,400,7090,-36.9,-56.9,285,76
47102,백령도,2022-03-06 12:00,500,5510,-24.5,-47.5,300,52
47102,백령도,2022-03-06 12:00,700,2995,-11.5,-25.5,330,29
47102,백령도,2022-03-06 12:00,850,1481,-2.9,-41.9,335,21
47102,백령도,2022-03-06 12:00,925,812,-3.1,-31.1,345,18
47102,백령도,2022-03-06 12:00,1000,193,0,-12,320,11
47104,북강릉,2022-03-06 0:00,10,30930,-46.9,-72.9,225,40
47104,북강릉,2022-03-06 0:00,20,26240,-52.1,-75.1,255,68
47104,북강릉,2022-03-06 0:00,30,23620,-49.7,-71.7,245,38
47104,북강릉,2022-03-06 0:00,50,20340,-60.1,-80.1,265,68
47104,북강릉,2022-03-06 0:00,70,18220,-61.3,-82.3,285,80
47104,북강릉,2022-03-06 0:00,100,16000,-57.5,-78.5,280,88
47104,북강릉,2022-03-06 0:00,150,13430,-54.9,-75.9,285,121
47104,북강릉,2022-03-06 0:00,200,11570,-49.9,-71.9,285,127
47104,북강릉,2022-03-06 0:00,250,10110,-47.9,-69.9,280,113
47104,북강릉,2022-03-06 0:00,300,8910,-46.1,-68.1,285,98
47104,북강릉,2022-03-06 0:00,400,6970,-39.3,-62.3,300,88
47104,북강릉,2022-03-06 0:00,500,5400,-27.5,-53.5,310,80
47104,북강릉,2022-03-06 0:00,700,2908,-14.9,-37.9,325,51
47104,북강릉,2022-03-06 0:00,850,1432,-10.7,-26.7,325,24
47104,북강릉,2022-03-06 0:00,925,774,-4.9,-22.9,305,20
47104,북강릉,2022-03-06 0:00,1000,155,0.4,-17.6,305,4
47104,북강릉,2022-03-06 12:00,10,30970,-43.7,-78.7,250,17
47104,북강릉,2022-03-06 12:00,20,26330,-44.3,-79.3,260,62
47104,북강릉,2022-03-06 12:00,30,23660,-52.3,-85.3,265,47
47104,북강릉,2022-03-06 12:00,50,20390,-60.1,-90.1,265,61
47104,북강릉,2022-03-06 12:00,70,18260,-55.9,-86.9,275,71
47104,북강릉,2022-03-06 12:00,100,16020,-58.7,-89.7,270,96
47104,북강릉,2022-03-06 12:00,150,13450,-54.1,-86.1,280,129
47104,북강릉,2022-03-06 12:00,200,11600,-53.7,-74.7,275,136
47104,북강릉,2022-03-06 12:00,250,10170,-56.5,-63.5,285,132
47104,북강릉,2022-03-06 12:00,300,8990,-46.7,-55.7,280,142
47104,북강릉,2022-03-06 12:00,400,7050,-38.7,-52.7,295,64
47104,북강릉,2022-03-06 12:00,500,5470,-26.7,-47.7,305,53
47104,북강릉,2022-03-06 12:00,700,2968,-10.9,-37.9,330,29
47104,북강릉,2022-03-06 12:00,850,1464,-5.9,-22.9,285,9
47104,북강릉,2022-03-06 12:00,925,795,-0.3,-13.3,270,3
47104,북강릉,2022-03-06 12:00,1000,168,3.2,-8.8,150,6
47122,오산,2022-03-06 0:00,10,30960,-38.9,-75.9,275,56
47122,오산,2022-03-06 0:00,20,26310,-46.1,-78.1,240,44
47122,오산,2022-03-06 0:00,30,23620,-51.1,-78.1,260,58
47122,오산,2022-03-06 0:00,50,20400,-60.7,-87.7,260,52
47122,오산,2022-03-06 0:00,70,18270,-59.1,-84.1,290,74
47122,오산,2022-03-06 0:00,100,16060,-61.3,-88.3,280,90
47122,오산,2022-03-06 0:00,150,13520,-56.1,-82.1,285,137
47122,오산,2022-03-06 0:00,200,11660,-50.7,-75.7,280,142
47122,오산,2022-03-06 0:00,250,10190,-48.5,-69.5,280,122
47122,오산,2022-03-06 0:00,300,8990,-48.7,-66.7,285,109
47122,오산,2022-03-06 0:00,400,7050,-37.5,-58.5,295,77
47122,오산,2022-03-06 0:00,500,5470,-26.7,-47.7,310,65
47122,오산,2022-03-06 0:00,700,2963,-11.7,-57.7,320,50
47122,오산,2022-03-06 0:00,850,1464,-9.1,-38.1,330,36
47122,오산,2022-03-06 0:00,925,809,-6.9,-19.9,325,20
47122,오산,2022-03-06 0:00,1000,194,-1.3,-17.3,300,11
47122,오산,2022-03-06 6:00,10,31030,-43.3,-78.3,245,34
47122,오산,2022-03-06 6:00,20,26350,-45.3,-80.3,250,53
47122,오산,2022-03-06 6:00,30,23660,-50.7,-83.7,260,49
47122,오산,2022-03-06 6:00,50,20410,-61.5,-91.5,265,59
47122,오산,2022-03-06 6:00,70,18300,-60.3,-90.3,280,71
47122,오산,2022-03-06 6:00,100,16070,-59.5,-89.5,275,84
47122,오산,2022-03-06 6:00,150,13520,-55.9,-86.9,280,135
47122,오산,2022-03-06 6:00,200,11660,-52.1,-85.1,280,152
47122,오산,2022-03-06 6:00,250,10210,-49.9,-69.9,285,127
47122,오산,2022-03-06 6:00,300,9020,-47.9,-62.9,285,142
47122,오산,2022-03-06 6:00,400,7080,-36.9,-56.9,290,81
47122,오산,2022-03-06 6:00,500,5490,-25.3,-48.3,295,58
47122,오산,2022-03-06 6:00,700,2970,-9.9,-45.9,325,38
47122,오산,2022-03-06 6:00,850,1453,-7.3,-27.3,355,23
47122,오산,2022-03-06 6:00,925,792,-3.7,-18.7,300,11
47122,오산,2022-03-06 6:00,1000,170,2.4,-17.6,275,13
47122,오산,2022-03-06 12:00,10,30940,-45.9,-80.9,265,28
47122,오산,2022-03-06 12:00,20,26290,-45.1,-80.1,255,65
47122,오산,2022-03-06 12:00,30,23630,-52.3,-84.3,265,46
47122,오산,2022-03-06 12:00,50,20380,-60.1,-90.1,275,59
47122,오산,2022-03-06 12:00,70,18270,-57.9,-88.9,275,72
47122,오산,2022-03-06 12:00,100,16060,-59.9,-89.9,270,89
47122,오산,2022-03-06 12:00,150,13500,-56.5,-80.5,280,127
47122,오산,2022-03-06 12:00,200,11660,-54.1,-70.1,270,141
47122,오산,2022-03-06 12:00,250,10230,-56.3,-60.9,275,130
47122,오산,2022-03-06 12:00,300,9040,-46.7,-51.3,270,128
47122,오산,2022-03-06 12:00,400,7100,-36.5,-55.5,295,83
47122,오산,2022-03-06 12:00,500,5510,-24.5,-42.5,305,55
47122,오산,2022-03-06 12:00,700,2994,-10.3,-36.3,320,24
47122,오산,2022-03-06 12:00,850,1476,-5.5,-27.5,360,12
47122,오산,2022-03-06 12:00,925,812,-3.1,-18.1,320,11
47122,오산,2022-03-06 12:00,1000,192,0.2,-7.8,290,14
47122,오산,2022-03-06 18:00,100,16040,-58.1,-78.1,280,95
47122,오산,2022-03-06 18:00,150,13490,-55.5,-73.5,275,115
47122,오산,2022-03-06 18:00,200,11640,-53.1,-66.1,270,134
47122,오산,2022-03-06 18:00,250,10200,-54.1,-58.5,265,106
47122,오산,2022-03-06 18:00,300,9020,-49.3,-52.1,265,108
47122,오산,2022-03-06 18:00,400,7090,-37.1,-43.1,280,64
47122,오산,2022-03-06 18:00,500,5500,-25.5,-40.5,295,39
47122,오산,2022-03-06 18:00,700,2986,-10.5,-26.5,320,21
47122,오산,2022-03-06 18:00,850,1466,-2.7,-51.7,310,18
47122,오산,2022-03-06 18:00,925,800,-3.5,-18.5,315,7
47122,오산,2022-03-06 18:00,1000,180,-0.3,-6.3,235,3
47138,포항,2022-03-06 0:00,10,30990,-44.1,-73.1,265,35
47138,포항,2022-03-06 0:00,20,26320,-42.7,-69.7,245,72
47138,포항,2022-03-06 0:00,30,23670,-53.5,-74.5,265,35
47138,포항,2022-03-06 0:00,50,20420,-62.1,-81.1,265,46
47138,포항,2022-03-06 0:00,70,18320,-58.9,-78.9,285,53
47138,포항,2022-03-06 0:00,100,16110,-61.7,-81.7,270,97
47138,포항,2022-03-06 0:00,150,13540,-55.5,-76.5,290,138
47138,포항,2022-03-06 0:00,200,11680,-50.5,-71.5,285,153
47138,포항,2022-03-06 0:00,250,10210,-47.3,-68.3,280,138
47138,포항,2022-03-06 0:00,300,9000,-47.1,-67.1,285,119
47138,포항,2022-03-06 0:00,400,7050,-36.3,-60.3,285,87
47138,포항,2022-03-06 0:00,500,5460,-25.5,-52.5,300,69
47138,포항,2022-03-06 0:00,700,2942,-11.5,-57.5,325,48
47138,포항,2022-03-06 0:00,850,1438,-7.7,-30.7,340,38
47138,포항,2022-03-06 0:00,925,777,-5.5,-20.5,305,30
47138,포항,2022-03-06 0:00,1000,160,-0.7,-15.7,275,17
47138,포항,2022-03-06 12:00,10,31010,-43.5,-73.5,275,4
47138,포항,2022-03-06 12:00,20,26380,-43.5,-66.5,275,54
47138,포항,2022-03-06 12:00,30,23690,-51.1,-70.1,265,53
47138,포항,2022-03-06 12:00,50,20420,-55.9,-71.9,265,41
47138,포항,2022-03-06 12:00,70,18310,-60.3,-73.3,275,61
47138,포항,2022-03-06 12:00,100,16100,-62.3,-74.3,275,104
47138,포항,2022-03-06 12:00,150,13550,-54.7,-67.7,280,123
47138,포항,2022-03-06 12:00,200,11700,-52.1,-63.1,275,156
47138,포항,2022-03-06 12:00,250,10260,-53.1,-62.1,280,130
47138,포항,2022-03-06 12:00,300,9060,-45.3,-55.3,280,141
47138,포항,2022-03-06 12:00,400,7100,-34.5,-58.5,290,87
47138,포항,2022-03-06 12:00,500,5500,-23.5,-46.5,300,64
47138,포항,2022-03-06 12:00,700,2980,-9.3,-41.3,320,32
47138,포항,2022-03-06 12:00,850,1464,-5.7,-16.7,290,16
47138,포항,2022-03-06 12:00,925,798,-1.7,-9.7,155,8
47138,포항,2022-03-06 12:00,1000,171,4.4,-7.6,95,4
47155,창원,2022-03-06 0:00,10,30890,,,,
47155,창원,2022-03-06 0:00,20,26270,-43.3,-82.3,255,59
47155,창원,2022-03-06 0:00,30,23620,-54.5,-87.5,265,32
47155,창원,2022-03-06 0:00,50,20380,-60.9,-89.9,270,43
47155,창원,2022-03-06 0:00,70,18300,-61.1,-89.1,290,57
47155,창원,2022-03-06 0:00,100,16130,-63.9,-87.9,265,108
47155,창원,2022-03-06 0:00,150,13600,-57.7,-84.7,285,147
47155,창원,2022-03-06 0:00,200,11750,-49.5,-80.5,285,176
47155,창원,2022-03-06 0:00,250,10270,-46.5,-75.5,280,158
47155,창원,2022-03-06 0:00,300,9060,-45.5,-69.5,280,124
47155,창원,2022-03-06 0:00,400,7110,-32.7,-52.7,285,110
47155,창원,2022-03-06 0:00,500,5510,-23.7,-53.7,290,66
47155,창원,2022-03-06 0:00,700,2969,-7.3,-48.3,320,50
47155,창원,2022-03-06 0:00,850,1450,-9.1,-28.1,335,37
47155,창원,2022-03-06 0:00,925,794,-6.1,-16.1,330,14
47155,창원,2022-03-06 0:00,1000,177,-0.7,-11.7,30,4
47155,창원,2022-03-06 12:00,10,31000,,,,
47155,창원,2022-03-06 12:00,20,26360,-42.3,-83.3,275,59
47155,창원,2022-03-06 12:00,30,23700,-51.5,-87.5,260,43
47155,창원,2022-03-06 12:00,50,20440,-58.1,-89.1,280,42
47155,창원,2022-03-06 12:00,70,18330,-62.1,-90.1,280,67
47155,창원,2022-03-06 12:00,100,16140,-65.9,-88.9,275,103
47155,창원,2022-03-06 12:00,150,13620,-55.9,-85.9,275,127
47155,창원,2022-03-06 12:00,200,11770,-52.3,-78.3,275,187
47155,창원,2022-03-06 12:00,250,10320,-51.1,-75.1,275,138
47155,창원,2022-03-06 12:00,300,9120,-44.1,-48.4,275,135
47155,창원,2022-03-06 12:00,400,7140,-33.1,-44.1,290,78
47155,창원,2022-03-06 12:00,500,5540,-21.7,-50.7,305,60
47155,창원,2022-03-06 12:00,700,2997,-8.5,-35.5,320,28
47155,창원,2022-03-06 12:00,850,1471,-3.5,-23.5,325,10
47155,창원,2022-03-06 12:00,925,797,2,-22,15,8
47155,창원,2022-03-06 12:00,1000,163,5.4,-8.6,285,1
47158,광주,2022-03-06 0:00,10,31080,-43.5,-78.5,250,13
47158,광주,2022-03-06 0:00,20,26440,-47.5,-81.5,240,41
47158,광주,2022-03-06 0:00,30,23710,-43.9,-78.9,260,55
47158,광주,2022-03-06 0:00,50,20480,-61.3,-91.3,270,30
47158,광주,2022-03-06 0:00,70,18370,-56.1,-87.1,290,48
47158,광주,2022-03-06 0:00,100,16180,-63.5,-92.5,270,96
47158,광주,2022-03-06 0:00,150,13640,-58.1,-89.1,285,154
47158,광주,2022-03-06 0:00,200,11800,-51.7,-82.7,280,189
47158,광주,2022-03-06 0:00,250,10320,-46.7,-73.7,280,157
47158,광주,2022-03-06 0:00,300,9110,-45.7,-63.7,280,116
47158,광주,2022-03-06 0:00,400,7150,-32.5,-53.5,285,97
47158,광주,2022-03-06 0:00,500,5540,-22.5,-55.5,290,66
47158,광주,2022-03-06 0:00,700,2983,-7.5,-55.5,325,48
47158,광주,2022-03-06 0:00,850,1465,-7.7,-39.7,340,37
47158,광주,2022-03-06 0:00,925,807,-5.5,-13.5,340,18
47158,광주,2022-03-06 0:00,1000,189,0,-11,340,6
47158,광주,2022-03-06 12:00,10,31020,-43.5,-78.5,290,4
47158,광주,2022-03-06 12:00,20,26370,-43.9,-78.9,270,68
47158,광주,2022-03-06 12:00,30,23710,-54.3,-86.3,250,45
47158,광주,2022-03-06 12:00,50,20460,-56.5,-87.5,275,37
47158,광주,2022-03-06 12:00,70,18340,-62.9,-91.9,275,68
47158,광주,2022-03-06 12:00,100,16150,-64.3,-93.3,270,101
47158,광주,2022-03-06 12:00,150,13630,-57.3,-82.3,275,129
47158,광주,2022-03-06 12:00,200,11790,-52.7,-68.7,275,186
47158,광주,2022-03-06 12:00,250,10340,-51.3,-57.3,275,138
47158,광주,2022-03-06 12:00,300,9140,-44.1,-48.2,270,136
47158,광주,2022-03-06 12:00,400,7160,-33.5,-38.5,285,67
47158,광주,2022-03-06 12:00,500,5550,-21.1,-47.1,300,51
47158,광주,2022-03-06 12:00,700,3002,-7.9,-30.9,310,22
47158,광주,2022-03-06 12:00,850,1470,-0.9,-49.9,355,19
47158,광주,2022-03-06 12:00,925,799,-2.3,-13.3,15,5
47158,광주,2022-03-06 12:00,1000,177,0.8,-9.2,310,13
47169,흑산도,2022-03-06 0:00,10,30980,-44.5,-79.5,245,39
47169,흑산도,2022-03-06 0:00,20,26360,-40.9,-76.9,250,59
47169,흑산도,2022-03-06 0:00,30,23670,-53.5,-85.5,275,42
47169,흑산도,2022-03-06 0:00,50,20450,-63.1,-92.1,265,51
47169,흑산도,2022-03-06 0:00,70,18350,-59.7,-89.7,295,65
47169,흑산도,2022-03-06 0:00,100,16190,-64.1,-93.1,270,90
47169,흑산도,2022-03-06 0:00,150,13670,-59.1,-89.1,280,155
47169,흑산도,2022-03-06 0:00,200,11840,-52.7,-77.7,280,197
47169,흑산도,2022-03-06 0:00,250,10370,-43.5,-71.5,275,187
47169,흑산도,2022-03-06 0:00,300,9140,-45.9,-59.9,280,123
47169,흑산도,2022-03-06 0:00,400,7170,-32.1,-46.1,285,88
47169,흑산도,2022-03-06 0:00,500,5560,-20.9,-56.9,290,68
47169,흑산도,2022-03-06 0:00,700,3009,-7.1,-43.1,315,35
47169,흑산도,2022-03-06 0:00,850,1477,-3.3,-47.3,335,34
47169,흑산도,2022-03-06 0:00,925,814,-4.1,-9.1,360,21
47169,흑산도,2022-03-06 0:00,1000,192,2,-9,360,23
47169,흑산도,2022-03-06 12:00,20,26370,-47.7,-81.7,270,68
47169,흑산도,2022-03-06 12:00,30,23700,-53.1,-85.1,260,45
47169,흑산도,2022-03-06 12:00,50,20460,-59.3,-89.3,265,42
47169,흑산도,2022-03-06 12:00,70,18350,-63.5,-92.5,265,59
47169,흑산도,2022-03-06 12:00,100,16170,-65.9,-93.9,265,101
47169,흑산도,2022-03-06 12:00,150,13660,-57.5,-78.5,275,133
47169,흑산도,2022-03-06 12:00,200,11830,-53.5,-70.5,270,181
47169,흑산도,2022-03-06 12:00,250,10370,-48.7,-60.7,270,146
47169,흑산도,2022-03-06 12:00,300,9160,-43.7,-46.6,260,129
47169,흑산도,2022-03-06 12:00,400,7180,-31.5,-34.9,270,59
47169,흑산도,2022-03-06 12:00,500,5570,-20.9,-39.9,295,39
47169,흑산도,2022-03-06 12:00,700,3008,-8.3,-28.3,315,18
47169,흑산도,2022-03-06 12:00,850,1476,-1.7,,350,23
47169,흑산도,2022-03-06 12:00,925,803,-2.9,-11.9,360,22
47169,흑산도,2022-03-06 12:00,1000,180,2,-7,350,20
47186,국가태풍센터,2022-03-06 0:00,20,26390,-44.7,-72.7,245,51
47186,국가태풍센터,2022-03-06 0:00,30,23710,-52.3,-75.3,270,33
47186,국가태풍센터,2022-03-06 0:00,50,20470,-60.3,-79.3,280,40
47186,국가태풍센터,2022-03-06 0:00,70,18400,-59.5,-77.5,265,42
47186,국가태풍센터,2022-03-06 0:00,100,16250,-69.9,-86.9,270,98
47186,국가태풍센터,2022-03-06 0:00,150,13760,-60.5,-77.5,280,147
47186,국가태풍센터,2022-03-06 0:00,200,11930,-53.3,-69.3,280,188
47186,국가태풍센터,2022-03-06 0:00,250,10450,-42.3,-59.3,270,183
47186,국가태풍센터,2022-03-06 0:00,300,9200,-40.3,-48.3,280,136
47186,국가태풍센터,2022-03-06 0:00,400,7210,-30.1,-36.1,280,95
47186,국가태풍센터,2022-03-06 0:00,500,5580,-19.5,-54.5,290,65
47186,국가태풍센터,2022-03-06 0:00,700,3019,-5.5,-35.5,305,36
47186,국가태풍센터,2022-03-06 0:00,850,1476,-3.3,-52.3,330,32
47186,국가태풍센터,2022-03-06 0:00,925,807,-1.5,-12.5,300,25
47186,국가태풍센터,2022-03-06 0:00,1000,179,,,,
47186,국가태풍센터,2022-03-06 12:00,10,31040,-43.5,-60.5,350,16
47186,국가태풍센터,2022-03-06 12:00,20,26420,-45.7,-58.7,285,50
47186,국가태풍센터,2022-03-06 12:00,30,23740,-52.9,-62.9,,
47186,국가태풍센터,2022-03-06 12:00,50,20490,-58.9,-66.9,285,43
47186,국가태풍센터,2022-03-06 12:00,70,18400,-63.1,-70.1,275,53
47186,국가태풍센터,2022-03-06 12:00,100,16230,-67.5,-72.5,270,110
47186,국가태풍센터,2022-03-06 12:00,150,13760,-58.9,-65.9,275,132
47186,국가태풍센터,2022-03-06 12:00,200,11930,-51.9,-58.9,270,182
47186,국가태풍센터,2022-03-06 12:00,250,10460,-45.5,-50.5,270,174
47186,국가태풍센터,2022-03-06 12:00,300,9230,-42.5,-45,270,126
47186,국가태풍센터,2022-03-06 12:00,400,7230,-29.9,-33.5,265,69
47186,국가태풍센터,2022-03-06 12:00,500,5600,-20.5,-37.5,285,39
47186,국가태풍센터,2022-03-06 12:00,700,3028,-7.3,-33.3,305,27
47186,국가태풍센터,2022-03-06 12:00,850,1485,1.4,,10,13
47186,국가태풍센터,2022-03-06 12:00,925,802,5.2,-41.8,345,17
47186,국가태풍센터,2022-03-06 12:00,1000,166,,,,
